0;0.000000
1;0.000000
2;0.016129
3;0.064516
4;0.016129
5;0.064516
6;0.129032
7;0.225806
8;0.241935
9;0.290323
10;0.306452
11;0.322581
12;0.387097
13;0.419355
14;0.451613
15;0.467742
16;0.500000
17;0.500000
18;0.500000
19;0.532258
20;0.580645
21;0.596774
22;0.612903
23;0.645161
24;0.677419
25;0.725806
26;0.725806
27;0.758065
28;0.758065
29;0.758065
30;0.758065
31;0.758065
32;0.806452
33;0.806452
34;0.822581
35;0.790323
36;0.838710
37;0.854839
38;0.887097
39;0.870968
40;0.887097
41;0.887097
42;0.887097
43;0.887097
44;0.887097
45;0.887097
46;0.887097
47;0.903226
48;0.903226
49;0.903226
50;0.903226
51;0.919355
52;0.919355
53;0.919355
54;0.935484
55;0.935484
56;0.951613
57;0.967742
58;0.983871
59;0.983871
60;0.983871
61;0.983871
62;0.983871
63;0.983871
64;0.983871
65;0.983871
66;1.000000
